sequence,project,file path,file name,line number,git command,commit link,,,,,,,,,
72,apache/camel,core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,EventHelper.java,L156 - L156,git diff 172873c 063c39a core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,https://github.com/apache/camel/commit/063c39ad94df766a9b6ef73d0fc3d7b177a255a2,,,,,,,,,
73,apache/camel,core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,EventHelper.java,L163 - L163,git diff 172873c 063c39a core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,https://github.com/apache/camel/commit/063c39ad94df766a9b6ef73d0fc3d7b177a255a2,,,,,,,,,
74,apache/camel,core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,EventHelper.java,L170 - L170,git diff 172873c 063c39a core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,https://github.com/apache/camel/commit/063c39ad94df766a9b6ef73d0fc3d7b177a255a2,,,,,,,,,
75,apache/camel,core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,EventHelper.java,L176 - L176,git diff 172873c 063c39a core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,https://github.com/apache/camel/commit/063c39ad94df766a9b6ef73d0fc3d7b177a255a2,,,,,,,,,
76,apache/camel,core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,EventHelper.java,L182 - L182,git diff 172873c 063c39a core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,https://github.com/apache/camel/commit/063c39ad94df766a9b6ef73d0fc3d7b177a255a2,,,,,,,,,
77,apache/camel,core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,EventHelper.java,L212 - L212,git diff 172873c 063c39a core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,https://github.com/apache/camel/commit/063c39ad94df766a9b6ef73d0fc3d7b177a255a2,,,,,,,,,
78,apache/camel,core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,EventHelper.java,L218 - L218,git diff 172873c 063c39a core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,https://github.com/apache/camel/commit/063c39ad94df766a9b6ef73d0fc3d7b177a255a2,,,,,,,,,
79,apache/camel,core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,EventHelper.java,L224 - L224,git diff 172873c 063c39a core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,https://github.com/apache/camel/commit/063c39ad94df766a9b6ef73d0fc3d7b177a255a2,,,,,,,,,
80,apache/camel,core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,EventHelper.java,L230 - L230,git diff 172873c 063c39a core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,https://github.com/apache/camel/commit/063c39ad94df766a9b6ef73d0fc3d7b177a255a2,,,,,,,,,
81,apache/camel,core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,EventHelper.java,L236 - L236,git diff 172873c 063c39a core/camel-support/src/main/java/org/apache/camel/support/EventHelper.java,https://github.com/apache/camel/commit/063c39ad94df766a9b6ef73d0fc3d7b177a255a2,,,,,,,,,
82,apache/camel,core/camel-util/src/main/java/org/apache/camel/util/URISupport.java,URISupport.java,L285 - L288,git diff 172873c 063c39a core/camel-util/src/main/java/org/apache/camel/util/URISupport.java,https://github.com/apache/camel/commit/063c39ad94df766a9b6ef73d0fc3d7b177a255a2,,,,,,,,,
83,apache/camel,core/camel-util/src/main/java/org/apache/camel/util/URISupport.java,URISupport.java,L292 - L292,git diff 172873c 063c39a core/camel-util/src/main/java/org/apache/camel/util/URISupport.java,https://github.com/apache/camel/commit/063c39ad94df766a9b6ef73d0fc3d7b177a255a2,,,,,,,,,
84,apache/camel,core/camel-util/src/main/java/org/apache/camel/util/URISupport.java,URISupport.java,L431 - L436,git diff 172873c 063c39a core/camel-util/src/main/java/org/apache/camel/util/URISupport.java,https://github.com/apache/camel/commit/063c39ad94df766a9b6ef73d0fc3d7b177a255a2,,,,,,,,,
85,apache/camel,tooling/maven/camel-package-maven-plugin/src/main/java/org/apache/camel/maven/packaging/UpdateDocComponentListMojo.java,UpdateDocComponentListMojo.java,L159 - L159,git diff 172873c 063c39a tooling/maven/camel-package-maven-plugin/src/main/java/org/apache/camel/maven/packaging/UpdateDocComponentListMojo.java,https://github.com/apache/camel/commit/063c39ad94df766a9b6ef73d0fc3d7b177a255a2,,,,,,,,,
86,apache/camel,tooling/maven/camel-package-maven-plugin/src/main/java/org/apache/camel/maven/packaging/UpdateDocComponentListMojo.java,UpdateDocComponentListMojo.java,L207 - L207,git diff 172873c 063c39a tooling/maven/camel-package-maven-plugin/src/main/java/org/apache/camel/maven/packaging/UpdateDocComponentListMojo.java,https://github.com/apache/camel/commit/063c39ad94df766a9b6ef73d0fc3d7b177a255a2,,,,,,,,,
87,apache/camel,tooling/maven/camel-package-maven-plugin/src/main/java/org/apache/camel/maven/packaging/UpdateDocComponentListMojo.java,UpdateDocComponentListMojo.java,L262 - L262,git diff 172873c 063c39a tooling/maven/camel-package-maven-plugin/src/main/java/org/apache/camel/maven/packaging/UpdateDocComponentListMojo.java,https://github.com/apache/camel/commit/063c39ad94df766a9b6ef73d0fc3d7b177a255a2,,,,,,,,,
88,apache/camel,tooling/maven/camel-package-maven-plugin/src/main/java/org/apache/camel/maven/packaging/UpdateDocComponentListMojo.java,UpdateDocComponentListMojo.java,L311 - L311,git diff 172873c 063c39a tooling/maven/camel-package-maven-plugin/src/main/java/org/apache/camel/maven/packaging/UpdateDocComponentListMojo.java,https://github.com/apache/camel/commit/063c39ad94df766a9b6ef73d0fc3d7b177a255a2,,,,,,,,,
89,apache/camel,core/camel-core-engine/src/main/java/org/apache/camel/impl/DefaultCamelContext.java,DefaultCamelContext.java,L208 - L209,git diff 9b24690 73b7290 core/camel-core-engine/src/main/java/org/apache/camel/impl/DefaultCamelContext.java,https://github.com/apache/camel/commit/73b7290d523c8290d756ca2c9167f53fb8d8a1f0,,,,,,,,,
90,apache/camel,core/camel-core-engine/src/main/java/org/apache/camel/impl/DefaultCamelContext.java,DefaultCamelContext.java,L299 - L300,git diff 9b24690 73b7290 core/camel-core-engine/src/main/java/org/apache/camel/impl/DefaultCamelContext.java,https://github.com/apache/camel/commit/73b7290d523c8290d756ca2c9167f53fb8d8a1f0,,,,,,,,,
91,apache/camel,core/camel-core-engine/src/main/java/org/apache/camel/impl/DefaultCamelContext.java,DefaultCamelContext.java,L324 - L325,git diff 9b24690 73b7290 core/camel-core-engine/src/main/java/org/apache/camel/impl/DefaultCamelContext.java,https://github.com/apache/camel/commit/73b7290d523c8290d756ca2c9167f53fb8d8a1f0,,,,,,,,,
92,apache/camel,core/camel-core-engine/src/main/java/org/apache/camel/impl/DefaultCamelContext.java,DefaultCamelContext.java,L332 - L333,git diff 9b24690 73b7290 core/camel-core-engine/src/main/java/org/apache/camel/impl/DefaultCamelContext.java,https://github.com/apache/camel/commit/73b7290d523c8290d756ca2c9167f53fb8d8a1f0,,,,,,,,,
93,apache/camel,core/camel-core-engine/src/main/java/org/apache/camel/impl/DefaultCamelContext.java,DefaultCamelContext.java,L345 - L346,git diff 9b24690 73b7290 core/camel-core-engine/src/main/java/org/apache/camel/impl/DefaultCamelContext.java,https://github.com/apache/camel/commit/73b7290d523c8290d756ca2c9167f53fb8d8a1f0,,,,,,,,,
94,apache/camel,core/camel-core-engine/src/main/java/org/apache/camel/impl/DefaultCamelContext.java,DefaultCamelContext.java,L353 - L354,git diff 9b24690 73b7290 core/camel-core-engine/src/main/java/org/apache/camel/impl/DefaultCamelContext.java,https://github.com/apache/camel/commit/73b7290d523c8290d756ca2c9167f53fb8d8a1f0,,,,,,,,,
95,apache/camel,core/camel-core-engine/src/main/java/org/apache/camel/impl/DefaultCamelContext.java,DefaultCamelContext.java,L391 - L392,git diff 9b24690 73b7290 core/camel-core-engine/src/main/java/org/apache/camel/impl/DefaultCamelContext.java,https://github.com/apache/camel/commit/73b7290d523c8290d756ca2c9167f53fb8d8a1f0,,,,,,,,,
96,apache/camel,core/camel-util/src/main/java/org/apache/camel/util/URISupport.java,URISupport.java,L285 - L288,git diff 340407b 1186efb core/camel-util/src/main/java/org/apache/camel/util/URISupport.java,https://github.com/apache/camel/commit/1186efb7769e1344f0d67a08ab7c4507b8cf8671,,,,,,,,,
97,apache/camel,core/camel-util/src/main/java/org/apache/camel/util/URISupport.java,URISupport.java,L292 - L292,git diff 340407b 1186efb core/camel-util/src/main/java/org/apache/camel/util/URISupport.java,https://github.com/apache/camel/commit/1186efb7769e1344f0d67a08ab7c4507b8cf8671,,,,,,,,,
98,apache/camel,core/camel-util/src/main/java/org/apache/camel/util/URISupport.java,URISupport.java,L431 - L436,git diff 340407b 1186efb core/camel-util/src/main/java/org/apache/camel/util/URISupport.java,https://github.com/apache/camel/commit/1186efb7769e1344f0d67a08ab7c4507b8cf8671,,,,,,,,,
99,apache/camel,components/camel-milo/src/main/java/org/apache/camel/component/milo/server/MiloServerComponent.java,MiloServerComponent.java,L148 - L148,git diff d3b1b95 632ceab components/camel-milo/src/main/java/org/apache/camel/component/milo/server/MiloServerComponent.java,https://github.com/apache/camel/commit/632ceab55a9e9b9c6bfcf472fbd13dde9f43b2f9,,,,,,,,,
100,apache/camel,tooling/maven/camel-package-maven-plugin/src/main/java/org/apache/camel/maven/packaging/ComponentDslMojo.java,ComponentDslMojo.java,L217 - L217,git diff dd9d37e ca2cef8 tooling/maven/camel-package-maven-plugin/src/main/java/org/apache/camel/maven/packaging/ComponentDslMojo.java,https://github.com/apache/camel/commit/ca2cef8908e12a5fed65b32ee6fdb888e19130be,,,,,,,,,
101,apache/camel,core/camel-base/src/main/java/org/apache/camel/processor/Pipeline.java,Pipeline.java,L96 - L96,git diff 58aff9f 28104c4 core/camel-base/src/main/java/org/apache/camel/processor/Pipeline.java,https://github.com/apache/camel/commit/28104c45df424730006a90c52cafda8f7dbcd303,,,,,,,,,
102,apache/camel,core/camel-base/src/main/java/org/apache/camel/processor/Pipeline.java,Pipeline.java,L98 - L98,git diff 58aff9f 28104c4 core/camel-base/src/main/java/org/apache/camel/processor/Pipeline.java,https://github.com/apache/camel/commit/28104c45df424730006a90c52cafda8f7dbcd303,,,,,,,,,
103,apache/camel,core/camel-base/src/main/java/org/apache/camel/processor/errorhandler/RedeliveryErrorHandler.java,RedeliveryErrorHandler.java,L388 - L396,git diff f23f9fb 2a79dcc core/camel-base/src/main/java/org/apache/camel/processor/errorhandler/RedeliveryErrorHandler.java,https://github.com/apache/camel/commit/2a79dccda2ce54ea5a5dff0b7a55e8d9430157bd,,,,,,,,,
104,apache/camel,core/camel-base/src/main/java/org/apache/camel/processor/Pipeline.java,Pipeline.java,L96 - L96,git diff ad1ebea d18688c core/camel-base/src/main/java/org/apache/camel/processor/Pipeline.java,https://github.com/apache/camel/commit/d18688cda33a3176751891c3cc6f0a0f304c57ef,,,,,,,,,
105,apache/camel,core/camel-base/src/main/java/org/apache/camel/processor/Pipeline.java,Pipeline.java,L98 - L98,git diff ad1ebea d18688c core/camel-base/src/main/java/org/apache/camel/processor/Pipeline.java,https://github.com/apache/camel/commit/d18688cda33a3176751891c3cc6f0a0f304c57ef,,,,,,,,,
106,apache/camel,core/camel-base/src/main/java/org/apache/camel/runtimecatalog/impl/AbstractCamelCatalog.java,AbstractCamelCatalog.java,L1137 - L1137,git diff cce51c7 d88e0c1 core/camel-base/src/main/java/org/apache/camel/runtimecatalog/impl/AbstractCamelCatalog.java,https://github.com/apache/camel/commit/d88e0c1032b6ed7a293ad2f1e056db2674a98961,,,,,,,,,
107,apache/camel,tooling/maven/camel-package-maven-plugin/src/main/java/org/apache/camel/maven/packaging/PackageComponentMojo.java,PackageComponentMojo.java,L135 - L135,git diff 5a99e92 e5949ee tooling/maven/camel-package-maven-plugin/src/main/java/org/apache/camel/maven/packaging/PackageComponentMojo.java,https://github.com/apache/camel/commit/e5949ee6a0f2ad79837698d853ee48f4d2a671d1,,,,,,,,,
108,apache/camel,tooling/maven/camel-package-maven-plugin/src/main/java/org/apache/camel/maven/packaging/UpdateDocComponentListMojo.java,UpdateDocComponentListMojo.java,L159 - L159,git diff 5a99e92 e5949ee tooling/maven/camel-package-maven-plugin/src/main/java/org/apache/camel/maven/packaging/UpdateDocComponentListMojo.java,https://github.com/apache/camel/commit/e5949ee6a0f2ad79837698d853ee48f4d2a671d1,,,,,,,,,
109,apache/camel,tooling/maven/camel-package-maven-plugin/src/main/java/org/apache/camel/maven/packaging/UpdateDocComponentListMojo.java,UpdateDocComponentListMojo.java,L203 - L203,git diff 5a99e92 e5949ee tooling/maven/camel-package-maven-plugin/src/main/java/org/apache/camel/maven/packaging/UpdateDocComponentListMojo.java,https://github.com/apache/camel/commit/e5949ee6a0f2ad79837698d853ee48f4d2a671d1,,,,,,,,,
110,apache/camel,tooling/maven/camel-package-maven-plugin/src/main/java/org/apache/camel/maven/packaging/UpdateDocComponentListMojo.java,UpdateDocComponentListMojo.java,L254 - L254,git diff 5a99e92 e5949ee tooling/maven/camel-package-maven-plugin/src/main/java/org/apache/camel/maven/packaging/UpdateDocComponentListMojo.java,https://github.com/apache/camel/commit/e5949ee6a0f2ad79837698d853ee48f4d2a671d1,,,,,,,,,
111,apache/camel,tooling/maven/camel-package-maven-plugin/src/main/java/org/apache/camel/maven/packaging/UpdateDocComponentListMojo.java,UpdateDocComponentListMojo.java,L299 - L299,git diff 5a99e92 e5949ee tooling/maven/camel-package-maven-plugin/src/main/java/org/apache/camel/maven/packaging/UpdateDocComponentListMojo.java,https://github.com/apache/camel/commit/e5949ee6a0f2ad79837698d853ee48f4d2a671d1,,,,,,,,,
112,apache/camel,tooling/camel-tooling-util/src/test/java/org/apache/camel/tooling/util/PackageHelperTest.java,PackageHelperTest.java,L42 - L42,git diff b46b88b 41ed1d4 tooling/camel-tooling-util/src/test/java/org/apache/camel/tooling/util/PackageHelperTest.java,https://github.com/apache/camel/commit/41ed1d42641fd0246324dccfe56953833f66ba15,,,,,,,,,
113,apache/camel,tooling/camel-tooling-util/src/test/java/org/apache/camel/tooling/util/PackageHelperTest.java,PackageHelperTest.java,L42 - L42,git diff b46b88b 41ed1d4 tooling/camel-tooling-util/src/test/java/org/apache/camel/tooling/util/PackageHelperTest.java,https://github.com/apache/camel/commit/41ed1d42641fd0246324dccfe56953833f66ba15,,,,,,,,,
114,apache/camel,tooling/maven/camel-package-maven-plugin/src/main/java/org/apache/camel/maven/packaging/EndpointDslMojo.java,EndpointDslMojo.java,L476 - L476,git diff d86740c 94ecbb7 tooling/maven/camel-package-maven-plugin/src/main/java/org/apache/camel/maven/packaging/EndpointDslMojo.java,https://github.com/apache/camel/commit/94ecbb7b37d4d570ff443b6260fec483259c7f54,,,,,,,,,
115,apache/camel,core/camel-base/src/main/java/org/apache/camel/impl/converter/BaseTypeConverterRegistry.java,BaseTypeConverterRegistry.java,L529 - L529,git diff df132ae 69732ec core/camel-base/src/main/java/org/apache/camel/impl/converter/BaseTypeConverterRegistry.java,https://github.com/apache/camel/commit/69732ece14699a2d0eb6d68a65a49a6b0e7f42d2,,,,,,,,,
116,apache/camel,core/camel-base/src/main/java/org/apache/camel/impl/converter/BaseTypeConverterRegistry.java,BaseTypeConverterRegistry.java,L531 - L531,git diff df132ae 69732ec core/camel-base/src/main/java/org/apache/camel/impl/converter/BaseTypeConverterRegistry.java,https://github.com/apache/camel/commit/69732ece14699a2d0eb6d68a65a49a6b0e7f42d2,,,,,,,,,
117,apache/camel,core/camel-base/src/main/java/org/apache/camel/impl/converter/BaseTypeConverterRegistry.java,BaseTypeConverterRegistry.java,L553 - L553,git diff 1c7f823 6a12be0 core/camel-base/src/main/java/org/apache/camel/impl/converter/BaseTypeConverterRegistry.java,https://github.com/apache/camel/commit/6a12be02f9bf4b568fba860d162bce5cd703b182,,,,,,,,,
118,apache/camel,core/camel-base/src/main/java/org/apache/camel/impl/converter/BaseTypeConverterRegistry.java,BaseTypeConverterRegistry.java,L554 - L554,git diff 1c7f823 6a12be0 core/camel-base/src/main/java/org/apache/camel/impl/converter/BaseTypeConverterRegistry.java,https://github.com/apache/camel/commit/6a12be02f9bf4b568fba860d162bce5cd703b182,,,,,,,,,
119,apache/camel,components/camel-salesforce/camel-salesforce-component/src/main/java/org/apache/camel/component/salesforce/internal/client/DefaultCompositeApiClient.java,DefaultCompositeApiClient.java,L171 - L171,git diff f778548 2abf46d components/camel-salesforce/camel-salesforce-component/src/main/java/org/apache/camel/component/salesforce/internal/client/DefaultCompositeApiClient.java,https://github.com/apache/camel/commit/2abf46da4c86bccc22422029f88cfe9a975f3490,,,,,,,,,
120,apache/camel,components/camel-salesforce/camel-salesforce-component/src/main/java/org/apache/camel/component/salesforce/internal/client/DefaultCompositeApiClient.java,DefaultCompositeApiClient.java,L177 - L177,git diff f778548 2abf46d components/camel-salesforce/camel-salesforce-component/src/main/java/org/apache/camel/component/salesforce/internal/client/DefaultCompositeApiClient.java,https://github.com/apache/camel/commit/2abf46da4c86bccc22422029f88cfe9a975f3490,,,,,,,,,
121,apache/camel,core/camel-support/src/main/java/org/apache/camel/support/PropertyBindingSupport.java,PropertyBindingSupport.java,L525 - L543,git diff 436dc90 205f75f core/camel-support/src/main/java/org/apache/camel/support/PropertyBindingSupport.java,https://github.com/apache/camel/commit/205f75f278b5d48fcb39f0a6a2f4e5b2a5ac063c,,,,,,,,,
122,apache/camel,components/camel-jetty/src/test/java/org/apache/camel/component/jetty/JettyThreadPoolSizeTest.java,JettyThreadPoolSizeTest.java,L32 - L32,git diff 27c936a 918d8d3 components/camel-jetty/src/test/java/org/apache/camel/component/jetty/JettyThreadPoolSizeTest.java,https://github.com/apache/camel/commit/918d8d30e4bb1be04eb390279e18fb829e819e11,,,,,,,,,
123,apache/camel,components/camel-jetty/src/test/java/org/apache/camel/component/jetty/JettyThreadPoolSizeTest.java,JettyThreadPoolSizeTest.java,L43 - L43,git diff 27c936a 918d8d3 components/camel-jetty/src/test/java/org/apache/camel/component/jetty/JettyThreadPoolSizeTest.java,https://github.com/apache/camel/commit/918d8d30e4bb1be04eb390279e18fb829e819e11,,,,,,,,,
124,apache/camel,components/camel-netty-http/src/test/java/org/apache/camel/component/netty/http/ProxyProtocolTest.java,ProxyProtocolTest.java,L52 - L52,git diff 075a5ac c503927 components/camel-netty-http/src/test/java/org/apache/camel/component/netty/http/ProxyProtocolTest.java,https://github.com/apache/camel/commit/c503927bdc376b72118081ca084ca1d96204249c,,,,,,,,,
125,apache/camel,components/camel-caffeine/src/main/java/org/apache/camel/component/caffeine/cache/CaffeineCacheProducer.java,CaffeineCacheProducer.java,L36 - L36,git diff eef7d23 5f24f43 components/camel-caffeine/src/main/java/org/apache/camel/component/caffeine/cache/CaffeineCacheProducer.java,https://github.com/apache/camel/commit/5f24f43ada5a10b8f10acbf1668e1cd895971c84,,,,,,,,,
126,apache/camel,components/camel-caffeine/src/main/java/org/apache/camel/component/caffeine/load/CaffeineLoadCacheProducer.java,CaffeineLoadCacheProducer.java,L36 - L36,git diff eef7d23 5f24f43 components/camel-caffeine/src/main/java/org/apache/camel/component/caffeine/load/CaffeineLoadCacheProducer.java,https://github.com/apache/camel/commit/5f24f43ada5a10b8f10acbf1668e1cd895971c84,,,,,,,,,
127,apache/camel,components/camel-ehcache/src/main/java/org/apache/camel/component/ehcache/EhcacheProducer.java,EhcacheProducer.java,L35 - L35,git diff eef7d23 5f24f43 components/camel-ehcache/src/main/java/org/apache/camel/component/ehcache/EhcacheProducer.java,https://github.com/apache/camel/commit/5f24f43ada5a10b8f10acbf1668e1cd895971c84,,,,,,,,,
128,apache/camel,core/camel-base/src/main/java/org/apache/camel/impl/engine/DefaultFluentProducerTemplate.java,DefaultFluentProducerTemplate.java,L241 - L241,git diff 7e86b1d ce44147 core/camel-base/src/main/java/org/apache/camel/impl/engine/DefaultFluentProducerTemplate.java,https://github.com/apache/camel/commit/ce441479b98eedd4371d011c5230fc5b1acd0e79,,,,,,,,,
129,apache/camel,core/camel-base/src/main/java/org/apache/camel/impl/engine/DefaultFluentProducerTemplate.java,DefaultFluentProducerTemplate.java,L306 - L306,git diff 7e86b1d ce44147 core/camel-base/src/main/java/org/apache/camel/impl/engine/DefaultFluentProducerTemplate.java,https://github.com/apache/camel/commit/ce441479b98eedd4371d011c5230fc5b1acd0e79,,,,,,,,,
130,apache/camel,core/camel-base/src/main/java/org/apache/camel/impl/engine/DefaultFluentProducerTemplate.java,DefaultFluentProducerTemplate.java,L316 - L316,git diff 7e86b1d ce44147 core/camel-base/src/main/java/org/apache/camel/impl/engine/DefaultFluentProducerTemplate.java,https://github.com/apache/camel/commit/ce441479b98eedd4371d011c5230fc5b1acd0e79,,,,,,,,,
131,apache/camel,core/camel-base/src/main/java/org/apache/camel/impl/engine/DefaultFluentProducerTemplate.java,DefaultFluentProducerTemplate.java,L339 - L339,git diff 7e86b1d ce44147 core/camel-base/src/main/java/org/apache/camel/impl/engine/DefaultFluentProducerTemplate.java,https://github.com/apache/camel/commit/ce441479b98eedd4371d011c5230fc5b1acd0e79,,,,,,,,,
132,apache/camel,components/camel-cdi/src/main/java/org/apache/camel/cdi/CdiCamelExtension.java,CdiCamelExtension.java,L356 - L356,git diff 5c6bd84 8799825 components/camel-cdi/src/main/java/org/apache/camel/cdi/CdiCamelExtension.java,https://github.com/apache/camel/commit/87998250fb56e561643e192874ba00c5ff3a1b9c,,,,,,,,,
133,apache/camel,components/camel-cdi/src/main/java/org/apache/camel/cdi/CdiCamelExtension.java,CdiCamelExtension.java,L357 - L357,git diff 5c6bd84 8799825 components/camel-cdi/src/main/java/org/apache/camel/cdi/CdiCamelExtension.java,https://github.com/apache/camel/commit/87998250fb56e561643e192874ba00c5ff3a1b9c,,,,,,,,,
134,apache/camel,components/camel-cdi/src/main/java/org/apache/camel/cdi/CdiCamelExtension.java,CdiCamelExtension.java,L358 - L358,git diff 5c6bd84 8799825 components/camel-cdi/src/main/java/org/apache/camel/cdi/CdiCamelExtension.java,https://github.com/apache/camel/commit/87998250fb56e561643e192874ba00c5ff3a1b9c,,,,,,,,,
135,apache/camel,components/camel-cdi/src/main/java/org/apache/camel/cdi/CdiCamelExtension.java,CdiCamelExtension.java,L359 - L359,git diff 5c6bd84 8799825 components/camel-cdi/src/main/java/org/apache/camel/cdi/CdiCamelExtension.java,https://github.com/apache/camel/commit/87998250fb56e561643e192874ba00c5ff3a1b9c,,,,,,,,,
136,apache/camel,components/camel-cdi/src/main/java/org/apache/camel/cdi/CdiCamelExtension.java,CdiCamelExtension.java,L360 - L360,git diff 5c6bd84 8799825 components/camel-cdi/src/main/java/org/apache/camel/cdi/CdiCamelExtension.java,https://github.com/apache/camel/commit/87998250fb56e561643e192874ba00c5ff3a1b9c,,,,,,,,,
137,apache/camel,core/camel-core/src/main/java/org/apache/camel/main/MainSupport.java,MainSupport.java,L1268 - L1283,git diff 5af11b8 0301d11 core/camel-core/src/main/java/org/apache/camel/main/MainSupport.java,https://github.com/apache/camel/commit/0301d11a194473fa1280dcf37474e76048559afa,,,,,,,,,
138,apache/camel,components/camel-grpc/src/main/java/org/apache/camel/component/grpc/client/GrpcResponseRouterStreamObserver.java,GrpcResponseRouterStreamObserver.java,L78 - L78,git diff c993d9a eb5d456 components/camel-grpc/src/main/java/org/apache/camel/component/grpc/client/GrpcResponseRouterStreamObserver.java,https://github.com/apache/camel/commit/eb5d4565f9770482157c8bd87775632964d18ebc,,,,,,,,,
139,apache/camel,components/camel-cdi/src/main/java/org/apache/camel/cdi/Main.java,Main.java,L80 - L81,git diff b017abe bfe9fc4 components/camel-cdi/src/main/java/org/apache/camel/cdi/Main.java,https://github.com/apache/camel/commit/bfe9fc4ab9a187c674db2e7f5a0972c6b7eb52e7,,,,,,,,,
140,apache/camel,tooling/maven/camel-package-maven-plugin/src/main/java/org/apache/camel/maven/packaging/PackageHelper.java,PackageHelper.java,L191 - L191,git diff 158cb22 0759e2f tooling/maven/camel-package-maven-plugin/src/main/java/org/apache/camel/maven/packaging/PackageHelper.java,https://github.com/apache/camel/commit/0759e2f9e548ad6af1f58a82a4e06a9134a9382d,,,,,,,,,
141,apache/camel,tooling/apt/src/main/java/org/apache/camel/tools/apt/SpiProcessor.java,SpiProcessor.java,L49 - L49,git diff 939faa6 ec4900c tooling/apt/src/main/java/org/apache/camel/tools/apt/SpiProcessor.java,https://github.com/apache/camel/commit/ec4900c9fa3f6aaed26ef38480da1d419419bf02,,,,,,,,,
142,apache/camel,tooling/apt/src/main/java/org/apache/camel/tools/apt/SpiProcessor.java,SpiProcessor.java,L53 - L53,git diff 939faa6 ec4900c tooling/apt/src/main/java/org/apache/camel/tools/apt/SpiProcessor.java,https://github.com/apache/camel/commit/ec4900c9fa3f6aaed26ef38480da1d419419bf02,,,,,,,,,
143,apache/camel,camel-core/src/main/java/org/apache/camel/component/file/FileConsumer.java,FileConsumer.java,L90 - L90,git diff cf33e65 93fbf29 camel-core/src/main/java/org/apache/camel/component/file/FileConsumer.java,https://github.com/apache/camel/commit/93fbf291933b5cdeca452d9f8106dbf8bf0b5b19,,,,,,,,,
