oopsla2017项目,,,,,,,,
seq,project,file path,file name,line number,modified java files,git command, commit link,
1,apache/geode,geode-redis/src/distributedTest/java/org/apache/geode/redis/internal/executor/hash/HashesAndCrashesDUnitTest.java,HashesAndCrashesDUnitTest.java,L267-L267,9,git diff 7ca77ccf8eb38d298bc53a870a6e90624098ce91 4637498e1f933d13f298b10b65dbc2af776c5c98 geode-redis/src/distributedTest/java/org/apache/geode/redis/internal/executor/hash/HashesAndCrashesDUnitTest.java,https://github.com/apache/geode/commit/4637498e1f933d13f298b10b65dbc2af776c5c98,无关
2,apache/geode,geode-redis/src/distributedTest/java/org/apache/geode/redis/internal/executor/hash/HashesAndCrashesDUnitTest.java,HashesAndCrashesDUnitTest.java,L294-L294,9,git diff 7ca77ccf8eb38d298bc53a870a6e90624098ce91 4637498e1f933d13f298b10b65dbc2af776c5c98 geode-redis/src/distributedTest/java/org/apache/geode/redis/internal/executor/hash/HashesAndCrashesDUnitTest.java,https://github.com/apache/geode/commit/4637498e1f933d13f298b10b65dbc2af776c5c98,无关
3,apache/geode,geode-redis/src/distributedTest/java/org/apache/geode/redis/internal/executor/hash/HashesAndCrashesDUnitTest.java,HashesAndCrashesDUnitTest.java,L323-L323,9,git diff 7ca77ccf8eb38d298bc53a870a6e90624098ce91 4637498e1f933d13f298b10b65dbc2af776c5c98 geode-redis/src/distributedTest/java/org/apache/geode/redis/internal/executor/hash/HashesAndCrashesDUnitTest.java,https://github.com/apache/geode/commit/4637498e1f933d13f298b10b65dbc2af776c5c98,无关
4,apache/geode,geode-redis/src/main/java/org/apache/geode/redis/internal/PubSubImpl.java,PubSubImpl.java,L100-L104,9,git diff 1a0d9769e482f49e0c725c0d6adc75d324f88958 9f8a2ff2b43c183b4824dd5ab764ecd2243cb2e1 geode-redis/src/main/java/org/apache/geode/redis/internal/PubSubImpl.java,https://github.com/apache/geode/commit/9f8a2ff2b43c183b4824dd5ab764ecd2243cb2e1,噪声
5,apache/geode,extensions/geode-modules/src/main/java/org/apache/geode/modules/session/catalina/DeltaSession.java,DeltaSession.java,L121-L121,32,git diff bbd09ef40b1f677634b918cb218f7faae43ad65c c4df938c27e02538ab0468498110951c55e5be74 extensions/geode-modules/src/main/java/org/apache/geode/modules/session/catalina/DeltaSession.java,https://github.com/apache/geode/commit/c4df938c27e02538ab0468498110951c55e5be74,
6,apache/geode,geode-core/src/distributedTest/java/org/apache/geode/management/MemberMXBeanAttributesDistributedTest.java,MemberMXBeanAttributesDistributedTest.java,L85-L90,1,git diff ee5ec15413714008db0024eafb6540d14f9a5392 d1323bd5098c1d9b4438fb09f08427c2e9fc6783 geode-core/src/distributedTest/java/org/apache/geode/management/MemberMXBeanAttributesDistributedTest.java,https://github.com/apache/geode/commit/d1323bd5098c1d9b4438fb09f08427c2e9fc6783,无关
7,apache/geode,geode-core/src/distributedTest/java/org/apache/geode/internal/jta/dunit/TransactionTimeOutDUnitTest.java,TransactionTimeOutDUnitTest.java,L194-L194,1,git diff dafa5f019d41560c952baffb8af82faa3bd2d757 c79cd1d244bd0ac07712ebdb61273ec15e69ca84 geode-core/src/distributedTest/java/org/apache/geode/internal/jta/dunit/TransactionTimeOutDUnitTest.java,https://github.com/apache/geode/commit/c79cd1d244bd0ac07712ebdb61273ec15e69ca84,无关
8,apache/geode,geode-core/src/integrationTest/java/org/apache/geode/distributed/internal/membership/gms/messenger/JGroupsMessengerJUnitTest.java,JGroupsMessengerJUnitTest.java,L246-L250,99,git diff 63714964f354024591dba4c77623d4e8eeef2c8e 743c925efa608719aca1ee6249d3c8ee3901905c geode-core/src/integrationTest/java/org/apache/geode/distributed/internal/membership/gms/messenger/JGroupsMessengerJUnitTest.java,https://github.com/apache/geode/commit/743c925efa608719aca1ee6249d3c8ee3901905c,
9,apache/geode,geode-core/src/main/java/org/apache/geode/internal/logging/SortLogFile.java,SortLogFile.java,L53-L67,99,git diff 63714964f354024591dba4c77623d4e8eeef2c8e 743c925efa608719aca1ee6249d3c8ee3901905c geode-core/src/main/java/org/apache/geode/internal/logging/SortLogFile.java,https://github.com/apache/geode/commit/743c925efa608719aca1ee6249d3c8ee3901905c,
10,apache/geode,geode-core/src/test/java/org/apache/geode/internal/cache/tier/sockets/DataSerializerPropagationDUnitTest.java,DataSerializerPropagationDUnitTest.java,L632-L632,2,git diff 3a9d9f341614b9020ae963766eafca7b8b956045 4b9dc96fe4771e31efd09398965f7eb496faeae5 geode-core/src/test/java/org/apache/geode/internal/cache/tier/sockets/DataSerializerPropagationDUnitTest.java,https://github.com/apache/geode/commit/4b9dc96fe4771e31efd09398965f7eb496faeae5,无关
11,apache/geode,geode-core/src/test/java/org/apache/geode/internal/cache/tier/sockets/DataSerializerPropagationDUnitTest.java,DataSerializerPropagationDUnitTest.java,L637-L637,2,git diff 3a9d9f341614b9020ae963766eafca7b8b956045 4b9dc96fe4771e31efd09398965f7eb496faeae5 geode-core/src/test/java/org/apache/geode/internal/cache/tier/sockets/DataSerializerPropagationDUnitTest.java,https://github.com/apache/geode/commit/4b9dc96fe4771e31efd09398965f7eb496faeae5,无关
12,apache/geode,geode-core/src/test/java/org/apache/geode/internal/cache/execute/PRFunctionExecutionDUnitTest.java,PRFunctionExecutionDUnitTest.java,L2813-L2813,44,git diff de2cb20632fb8200a10238bfff206bb70bb97433 101fd19ba74a1945265b1dee56327313c3a5c14f geode-core/src/test/java/org/apache/geode/internal/cache/execute/PRFunctionExecutionDUnitTest.java,https://github.com/apache/geode/commit/101fd19ba74a1945265b1dee56327313c3a5c14f,
13,apache/geode,geode-core/src/test/java/org/apache/geode/internal/cache/partitioned/PersistentColocatedPartitionedRegionDUnitTest.java,PersistentColocatedPartitionedRegionDUnitTest.java,L526-L528,1,git diff 00c46557e9630afbb941a219a0a7e4973893517c 0d2823ffe602ac029144614ea811e95084afeb47 geode-core/src/test/java/org/apache/geode/internal/cache/partitioned/PersistentColocatedPartitionedRegionDUnitTest.java,https://github.com/apache/geode/commit/0d2823ffe602ac029144614ea811e95084afeb47,可能有关，不确定
14,apache/geode,geode-core/src/test/java/org/apache/geode/internal/cache/partitioned/PersistentColocatedPartitionedRegionDUnitTest.java,PersistentColocatedPartitionedRegionDUnitTest.java,L1250-L1252,1,git diff 00c46557e9630afbb941a219a0a7e4973893517c 0d2823ffe602ac029144614ea811e95084afeb47 geode-core/src/test/java/org/apache/geode/internal/cache/partitioned/PersistentColocatedPartitionedRegionDUnitTest.java,https://github.com/apache/geode/commit/0d2823ffe602ac029144614ea811e95084afeb47,可能有关，不确定
15,elastic/elasticsearch,server/src/main/java/org/elasticsearch/index/shard/IndexShard.java,IndexShard.java,L304-L304,244,git diff 6556186d9a89a3db77680e77e7bfa17fb3eaa741 aa147cca441f6967b911d27142562d2cb31716b0 server/src/main/java/org/elasticsearch/index/shard/IndexShard.java,https://github.com/elastic/elasticsearch/commit/aa147cca441f6967b911d27142562d2cb31716b0,
16,elastic/elasticsearch,x-pack/plugin/core/src/main/java/org/elasticsearch/xpack/core/ml/job/results/Bucket.java,Bucket.java,L377-L377,244,git diff 6556186d9a89a3db77680e77e7bfa17fb3eaa741 aa147cca441f6967b911d27142562d2cb31716b0 x-pack/plugin/core/src/main/java/org/elasticsearch/xpack/core/ml/job/results/Bucket.java,https://github.com/elastic/elasticsearch/commit/aa147cca441f6967b911d27142562d2cb31716b0,
17,JetBrains/intellij-plugins,AngularJS/src/org/angularjs/codeInsight/refs/AngularJSTemplateReferencesProvider.java,AngularJSTemplateReferencesProvider.java,L55-L60,1,git diff 9fd338b851b73077540eed85a71323d5367af631 69e900eacab72f07847f2109ddc5a0d0dd5c91d8 AngularJS/src/org/angularjs/codeInsight/refs/AngularJSTemplateReferencesProvider.java,https://github.com/JetBrains/intellij-plugins/commit/69e900eacab72f07847f2109ddc5a0d0dd5c91d8,没看懂
18,neo4j/neo4j,community/bolt/src/test/java/org/neo4j/bolt/transport/TransportWriteThrottleTest.java,TransportWriteThrottleTest.java,L138-L138,1,git diff 0319e1d62cb4da505c671837976c24415c0c5306 1c61b10d287addefd1570f0abe2cb898b8d933a2 community/bolt/src/test/java/org/neo4j/bolt/transport/TransportWriteThrottleTest.java,https://github.com/neo4j/neo4j/commit/1c61b10d287addefd1570f0abe2cb898b8d933a2,可能有关，不确定
19,neo4j/neo4j,community/community-it/it-test-support/src/main/java/org/neo4j/snapshot/TestTransactionVersionContextSupplier.java,TestTransactionVersionContextSupplier.java,L34-L34,5,git diff 5b9042b1d7c7575ccb75b173b2ca65223a7e3db2 926e5d42d8879f7cb9275cf65dfb3ba674b0bd14 community/community-it/it-test-support/src/main/java/org/neo4j/snapshot/TestTransactionVersionContextSupplier.java,https://github.com/neo4j/neo4j/commit/926e5d42d8879f7cb9275cf65dfb3ba674b0bd14,可能有关，不确定
20,neo4j/neo4j,community/kernel/src/main/java/org/neo4j/kernel/impl/api/index/IndexingService.java,IndexingService.java,L637-L637,183,git diff 55496924eb2955c9a12806cb13ea997bd8b2b26f 29fb75d135e40578f7750eacbfd150238327a322 community/kernel/src/main/java/org/neo4j/kernel/impl/api/index/IndexingService.java,https://github.com/neo4j/neo4j/commit/29fb75d135e40578f7750eacbfd150238327a322,
21,neo4j/neo4j,enterprise/causal-clustering/src/test/java/org/neo4j/causalclustering/catchup/storecopy/PrepareStoreCopyResponseMarshalTest.java,PrepareStoreCopyResponseMarshalTest.java,L103-L103,183,git diff 55496924eb2955c9a12806cb13ea997bd8b2b26f 29fb75d135e40578f7750eacbfd150238327a322 enterprise/causal-clustering/src/test/java/org/neo4j/causalclustering/catchup/storecopy/PrepareStoreCopyResponseMarshalTest.java,https://github.com/neo4j/neo4j/commit/29fb75d135e40578f7750eacbfd150238327a322,
22,neo4j/neo4j,enterprise/causal-clustering/src/test/java/org/neo4j/causalclustering/identity/ClusterBinderTest.java,ClusterBinderTest.java,L93-L93,183,git diff 55496924eb2955c9a12806cb13ea997bd8b2b26f 29fb75d135e40578f7750eacbfd150238327a322 enterprise/causal-clustering/src/test/java/org/neo4j/causalclustering/identity/ClusterBinderTest.java,https://github.com/neo4j/neo4j/commit/29fb75d135e40578f7750eacbfd150238327a322,
23,neo4j/neo4j,enterprise/causal-clustering/src/test/java/org/neo4j/causalclustering/identity/ClusterBinderTest.java,ClusterBinderTest.java,L119-L119,183,git diff 55496924eb2955c9a12806cb13ea997bd8b2b26f 29fb75d135e40578f7750eacbfd150238327a322 enterprise/causal-clustering/src/test/java/org/neo4j/causalclustering/identity/ClusterBinderTest.java,https://github.com/neo4j/neo4j/commit/29fb75d135e40578f7750eacbfd150238327a322,
24,neo4j/neo4j,enterprise/causal-clustering/src/test/java/org/neo4j/causalclustering/identity/ClusterBinderTest.java,ClusterBinderTest.java,L145-L145,183,git diff 55496924eb2955c9a12806cb13ea997bd8b2b26f 29fb75d135e40578f7750eacbfd150238327a322 enterprise/causal-clustering/src/test/java/org/neo4j/causalclustering/identity/ClusterBinderTest.java,https://github.com/neo4j/neo4j/commit/29fb75d135e40578f7750eacbfd150238327a322,
25,neo4j/neo4j,enterprise/causal-clustering/src/test/java/org/neo4j/causalclustering/identity/ClusterBinderTest.java,ClusterBinderTest.java,L173-L173,183,git diff 55496924eb2955c9a12806cb13ea997bd8b2b26f 29fb75d135e40578f7750eacbfd150238327a322 enterprise/causal-clustering/src/test/java/org/neo4j/causalclustering/identity/ClusterBinderTest.java,https://github.com/neo4j/neo4j/commit/29fb75d135e40578f7750eacbfd150238327a322,
26,neo4j/neo4j,enterprise/causal-clustering/src/main/java/org/neo4j/causalclustering/core/consensus/roles/Voting.java,Voting.java,L100-L100,227,git diff 25e99d86bd11499c687323fb5b8c9e6259def938 2e3160db920de0c3d08957b586c716b90eef55aa enterprise/causal-clustering/src/main/java/org/neo4j/causalclustering/core/consensus/roles/Voting.java,https://github.com/neo4j/neo4j/commit/2e3160db920de0c3d08957b586c716b90eef55aa,
27,neo4j/neo4j,community/kernel/src/main/java/org/neo4j/kernel/impl/factory/GraphDatabaseFacade.java,GraphDatabaseFacade.java,L724-L724,47,git diff 41e6e6b4e9737b844d9a599281fcc5c410d686b8 5dd2a2f3e62ab5d882d117ec7b1e3a8d87574916 community/kernel/src/main/java/org/neo4j/kernel/impl/factory/GraphDatabaseFacade.java,https://github.com/neo4j/neo4j/commit/5dd2a2f3e62ab5d882d117ec7b1e3a8d87574916,
28,neo4j/neo4j,enterprise/causal-clustering/src/main/java/org/neo4j/causalclustering/core/consensus/RaftMachine.java,RaftMachine.java,L214-L214,64,git diff d6b150aefaca68a10858e491af0a9633880cebab beba66d17e6afc6404b96c2c3b01d2017955f856 enterprise/causal-clustering/src/main/java/org/neo4j/causalclustering/core/consensus/RaftMachine.java,https://github.com/neo4j/neo4j/commit/beba66d17e6afc6404b96c2c3b01d2017955f856,
29,neo4j/neo4j,community/collections/src/main/java/org/neo4j/helpers/collection/Iterables.java,Iterables.java,L903-L903,3,git diff 6836f877c069dab59a25468678f5b97726d9167d a53580a5f823fa82db1ae26671997dde924e1a03 community/collections/src/main/java/org/neo4j/helpers/collection/Iterables.java,https://github.com/neo4j/neo4j/commit/a53580a5f823fa82db1ae26671997dde924e1a03,无关
30,neo4j/neo4j,community/bolt/src/main/java/org/neo4j/bolt/logging/BoltMessageLoggerImpl.java,BoltMessageLoggerImpl.java,L115-L115,14,git diff 5205f70879b35d828f118ec65d22e1cada08480d 03fe371a7a7600d26b50c80a16907f99d52b9b3b community/bolt/src/main/java/org/neo4j/bolt/logging/BoltMessageLoggerImpl.java,https://github.com/neo4j/neo4j/commit/03fe371a7a7600d26b50c80a16907f99d52b9b3b,
31,neo4j/neo4j,community/bolt/src/main/java/org/neo4j/bolt/v1/messaging/BoltMessageRouter.java,BoltMessageRouter.java,L92-L92,14,git diff 5205f70879b35d828f118ec65d22e1cada08480d 03fe371a7a7600d26b50c80a16907f99d52b9b3b community/bolt/src/main/java/org/neo4j/bolt/v1/messaging/BoltMessageRouter.java,https://github.com/neo4j/neo4j/commit/03fe371a7a7600d26b50c80a16907f99d52b9b3b,
32,neo4j/neo4j,community/bolt/src/test/java/org/neo4j/bolt/logging/BoltMessageLoggerImplTest.java,BoltMessageLoggerImplTest.java,L124-L124,14,git diff 5205f70879b35d828f118ec65d22e1cada08480d 03fe371a7a7600d26b50c80a16907f99d52b9b3b community/bolt/src/test/java/org/neo4j/bolt/logging/BoltMessageLoggerImplTest.java,https://github.com/neo4j/neo4j/commit/03fe371a7a7600d26b50c80a16907f99d52b9b3b,
33,neo4j/neo4j,community/kernel/src/main/java/org/neo4j/kernel/configuration/Config.java,Config.java,L241-L243,129,git diff 9c588e5433b0a9fb60fb118ed2c74ff380ce709e 21faaedc3a77c51adaea913af0fcaba2d48a26ac community/kernel/src/main/java/org/neo4j/kernel/configuration/Config.java,https://github.com/neo4j/neo4j/commit/21faaedc3a77c51adaea913af0fcaba2d48a26ac,
34,neo4j/neo4j,community/kernel/src/main/java/org/neo4j/kernel/configuration/Config.java,Config.java,L256-L258,129,git diff 9c588e5433b0a9fb60fb118ed2c74ff380ce709e 21faaedc3a77c51adaea913af0fcaba2d48a26ac community/kernel/src/main/java/org/neo4j/kernel/configuration/Config.java,https://github.com/neo4j/neo4j/commit/21faaedc3a77c51adaea913af0fcaba2d48a26ac,
35,neo4j/neo4j,enterprise/causal-clustering/src/test/java/org/neo4j/causalclustering/backup/BackupCoreIT.java,BackupCoreIT.java,L56-L56,51,git diff 1feb500dad6e51d04fd49981842b4a3ae0a9ba3f c73b8fd035df23d282907fe8c5aecdac8c4ed878 enterprise/causal-clustering/src/test/java/org/neo4j/causalclustering/backup/BackupCoreIT.java,https://github.com/neo4j/neo4j/commit/c73b8fd035df23d282907fe8c5aecdac8c4ed878,
36,neo4j/neo4j,enterprise/causal-clustering/src/test/java/org/neo4j/causalclustering/backup/BackupReadReplicaIT.java,BackupReadReplicaIT.java,L60-L60,51,git diff 1feb500dad6e51d04fd49981842b4a3ae0a9ba3f c73b8fd035df23d282907fe8c5aecdac8c4ed878 enterprise/causal-clustering/src/test/java/org/neo4j/causalclustering/backup/BackupReadReplicaIT.java,https://github.com/neo4j/neo4j/commit/c73b8fd035df23d282907fe8c5aecdac8c4ed878,
37,neo4j/neo4j,enterprise/ha/src/test/java/org/neo4j/kernel/ha/TxPushStrategyConfigIT.java,TxPushStrategyConfigIT.java,L216-L216,43,git diff c35afd328e097d1514330c5dddc8fa9e7aa5f0b6 19ff7896844a26b711e6257cd41eb8b7e70514e5 enterprise/ha/src/test/java/org/neo4j/kernel/ha/TxPushStrategyConfigIT.java,https://github.com/neo4j/neo4j/commit/19ff7896844a26b711e6257cd41eb8b7e70514e5,
38,neo4j/neo4j,enterprise/ha/src/test/java/org/neo4j/kernel/ha/TxPushStrategyConfigIT.java,TxPushStrategyConfigIT.java,L217-L217,1,git diff 18b3ad3668da13f3bff246132f470c7f57f39cc3 eb7dc524bcc5b84ec31f218961e69518967074f8 enterprise/ha/src/test/java/org/neo4j/kernel/ha/TxPushStrategyConfigIT.java,https://github.com/neo4j/neo4j/commit/eb7dc524bcc5b84ec31f218961e69518967074f8,flaky
39,neo4j/neo4j,community/codegen/src/test/java/org/neo4j/codegen/CodeGenerationTest.java,CodeGenerationTest.java,L1196-L1196,131,git diff cb1918bd2b4b7d8abd03bcb91e4e678f953977fe bc1ee5b5d487a1104d3ccc630792f2fa25a7668f community/codegen/src/test/java/org/neo4j/codegen/CodeGenerationTest.java,https://github.com/neo4j/neo4j/commit/bc1ee5b5d487a1104d3ccc630792f2fa25a7668f,
40,neo4j/neo4j,community/codegen/src/test/java/org/neo4j/codegen/CodeGenerationTest.java,CodeGenerationTest.java,L1198-L1198,131,git diff cb1918bd2b4b7d8abd03bcb91e4e678f953977fe bc1ee5b5d487a1104d3ccc630792f2fa25a7668f community/codegen/src/test/java/org/neo4j/codegen/CodeGenerationTest.java,https://github.com/neo4j/neo4j/commit/bc1ee5b5d487a1104d3ccc630792f2fa25a7668f,
41,neo4j/neo4j,community/codegen/src/test/java/org/neo4j/codegen/CodeGenerationTest.java,CodeGenerationTest.java,L1200-L1200,131,git diff cb1918bd2b4b7d8abd03bcb91e4e678f953977fe bc1ee5b5d487a1104d3ccc630792f2fa25a7668f community/codegen/src/test/java/org/neo4j/codegen/CodeGenerationTest.java,https://github.com/neo4j/neo4j/commit/bc1ee5b5d487a1104d3ccc630792f2fa25a7668f,
42,neo4j/neo4j,community/codegen/src/test/java/org/neo4j/codegen/CodeGenerationTest.java,CodeGenerationTest.java,L1202-L1202,131,git diff cb1918bd2b4b7d8abd03bcb91e4e678f953977fe bc1ee5b5d487a1104d3ccc630792f2fa25a7668f community/codegen/src/test/java/org/neo4j/codegen/CodeGenerationTest.java,https://github.com/neo4j/neo4j/commit/bc1ee5b5d487a1104d3ccc630792f2fa25a7668f,
43,neo4j/neo4j,community/codegen/src/test/java/org/neo4j/codegen/CodeGenerationTest.java,CodeGenerationTest.java,L1206-L1206,131,git diff cb1918bd2b4b7d8abd03bcb91e4e678f953977fe bc1ee5b5d487a1104d3ccc630792f2fa25a7668f community/codegen/src/test/java/org/neo4j/codegen/CodeGenerationTest.java,https://github.com/neo4j/neo4j/commit/bc1ee5b5d487a1104d3ccc630792f2fa25a7668f,
